,Team,Rating
139,Nimes,1305.814882931417
174,Reading,1300.5240697481192
141,Huesca,1295.9634099023797
59,Ath Bilbao,1294.6557276631302
171,Derby,1290.5583688908723
134,Girona,1289.976294359174
5,Evian Thonon Gaillard,1288.961234522367
165,Ipswich,1286.943724960653
29,M'gladbach,1282.8052871968944
131,Amiens,1277.439611421001
34,Valencia,1274.0880631698133
147,Brescia,1270.5311600218386
149,Leeds,1268.6347331636819
180,Blackburn,1266.0243827644988
160,Auxerre,1258.4849434277626
23,Bastia,1257.007478591093
72,Cardiff,1256.4244280634312
140,Fortuna Dusseldorf,1244.8740397050194
153,Clermont,1239.1388413987504
183,Santander,1235.0440936335167
106,Paderborn,1230.31225170357
158,Monza,1225.7807233866067
99,QPR,1220.290072006364
135,Huddersfield,1219.8841920854873
15,Schalke 04,1215.7482001000733
154,Greuther Furth,1211.993197538005
2,Valenciennes,1207.5936469837202
136,Benevento,1206.4037632031043
125,Nancy,1205.9393106756606
123,Middlesbrough,1203.413834046148
157,Venezia,1199.531995603239
137,Spal,1190.6699088919136
186,Zaragoza,1189.5343810711086
185,Siena,1187.0691941991045
133,Strasbourg,1186.9038216659148
109,Cesena,1167.8922799347854
32,Ein Frankfurt,1162.6726658065122
151,Spezia,1161.50967154318
26,St Etienne,1160.3042983892615
170,Bolton,1158.0681447804536
129,Crotone,1154.7872410157208
81,Livorno,1154.3387936498887
114,Darmstadt,1150.0746047972318
162,Le Havre,1148.34523926127
16,Guingamp,1139.861214718388
126,Pescara,1129.1285410308274
19,Sochaux,1126.9309729156464
150,Bielefeld,1126.9189654266177
148,Cadiz,1126.209036116309
142,Brest,1115.7093625184111
100,Leicester,1115.499636400325
30,Hamburg,1114.7725736268021
118,Frosinone,1109.3200921113425
28,Stuttgart,1099.7813512533878
127,Leganes,1096.9222514188275
14,Hoffenheim,1096.8708264228276
110,Palermo,1096.222359211968
0,Montpellier,1083.3325485550822
41,Swansea,1082.1648360921736
74,Malaga,1077.7545372780296
145,Sheffield United,1075.990023139404
17,Ajaccio,1073.0662589827602
132,Brighton,1066.8685857076932
76,Betis,1064.468325918633
172,Wigan,1057.7240379785646
143,Mallorca,1049.7569992654485
69,Elche,1049.0649660130246
120,Sp Gijon,1048.8251478686252
93,Catania,1046.43663924626
156,Salernitana,1029.2482677094
128,Alaves,1028.082572752052
105,Eibar,1022.7440732974828
112,Bournemouth,1020.7041920567201
121,Las Palmas,1019.5322458491898
18,Mainz,1009.3755579425535
116,Watford,1005.4798833137667
61,Everton,997.4035011332459
53,Nurnberg,993.5559044541844
60,Aston Villa,976.9068814000451
64,Stoke,972.8321669356078
124,Dijon,968.8681671260293
66,Hull,960.7206877164753
31,Freiburg,957.6452081853599
113,Troyes,957.1568415326892
10,Hannover,951.0905771260751
22,Reims,938.782039441666
155,Bochum,937.9270606697113
115,Angers,932.4869112552605
27,Werder Bremen,931.7292678265695
98,Caen,916.4507443843253
8,Nantes,911.6357143597126
55,Celta,910.1253524228547
91,Sassuolo,907.4708542224449
46,Lorient,901.5038884249409
56,Almeria,888.0518651918364
63,Newcastle,885.7823781956181
108,La Coruna,884.1983217489917
35,Toulouse,878.0322690210081
84,Torino,858.9775662780595
44,Crystal Palace,851.7020073654794
40,Norwich,845.8142029900177
54,Vallecano,829.1180916194013
65,Sampdoria,827.1227532960582
9,Hertha,826.4949445280795
138,Wolves,807.4267004007941
146,Lecce,806.9525901958768
83,Parma,804.4116862825337
88,Chievo,798.0750980561196
96,Udinese,797.8829457219134
12,Augsburg,698.7652982628139
39,Sunderland,687.2484825177414
68,Southampton,680.4876953376009
58,Getafe,678.4344906497187
38,West Ham,677.645688802854
33,Valladolid,670.0157836858353
85,Granada,668.5825279727471
111,Empoli,666.6500292986776
37,West Brom,665.8719261211692
52,Osasuna,655.7244653559461
75,Levante,651.081631288092
62,Fulham,644.4998342308663
103,Burnley,644.2923388681447
104,FC Koln,609.4476674271486
102,Metz,607.6480725296504
70,Espanol,575.1023949306625
67,Verona,542.8282029967615
94,Genoa,503.58702256526817
92,Bologna,497.46703056413685
78,Cagliari,211.65115177963202
